P_kPa,G_kg_m2s,X,D_mm,CHF_kW_m2,P_reduced,rho_l_kg_m3,rho_g_kg_m3,density_ratio
13790.0,1389.2,0.07,9.5,1814.13,0.6250000000000636,624.8579813954788,85.15223372759066,7.338127892151994
2059.0,956.0,0.69,3.94,1784.0,0.09331943437274336,847.97121595178,10.331591189125763,82.07556807360798
2550.0,322.0,0.848,13.100000000000001,1007.0,0.11557287889776376,833.7396984300398,12.75590566951841,65.3610743157461
14710.0,1517.0,0.272,10.8,871.0,0.6666968817984724,608.7220787606284,93.8296671468486,6.487522521080084
13730.0,500.0,0.683,8.01,301.0,0.6222806381436456,625.8937996738728,84.61112878050665,7.397298779662078
6860.0,1493.0,0.613,5.78,961.0,0.310913705583788,742.2306911325637,35.71045357605859,20.784689546205552
9810.0,3988.0,0.162,7.99,1730.0,0.4446156635243382,691.5892934498335,54.16750050295774,12.767605797355744
17700.0,1625.0,0.213,8.0,958.0,0.8022117476433014,550.2885374620565,128.92206334959903,4.268381401636697
13720.0,2041.0,0.157,10.01,1175.0,0.621827411167576,626.066266128415,84.52122036626805,7.407208076449812
13720.0,2777.0,0.385,8.05,238.0,0.621827411167576,626.066266128415,84.52122036626805,7.407208076449812
7000.0,4005.5,0.179,8.11,2593.0,0.3172588832487632,739.723964125216,36.52508882685207,20.25248912143356
10000.0,3211.0,0.13,10.01,1750.0,0.4532269760696618,688.423692322029,55.46308524399162,12.412286285437153
14710.0,999.0,0.437,8.0,561.0,0.6666968817984724,608.7220787606284,93.8296671468486,6.487522521080084
14010.0,252.1,0.925,8.11,286.0,0.6349709934735961,621.0443750270431,87.1610292844573,7.125252881080751
15169.0,664.2,0.458,9.5,561.59,0.6875000000000699,600.4539767427793,98.45527086031058,6.098748919138215
14700.0,1609.0,0.296,8.0,605.0,0.6662436548224028,608.9003957823116,93.73123539933255,6.496237814301203
10343.0,3715.0,0.002,12.9,3044.0,0.46877266134885115,682.7198725537742,57.8404031508629,11.803511652106957
9800.0,2757.0,0.392,8.200000000000001,590.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
4021.0,690.0,0.699,9.979999999999999,2189.0,0.182242567077611,797.9049163148262,20.198546483965618,39.50308587542345
6895.0,1559.4,0.068,12.88,3785.5,0.3125000000000318,741.6026080444277,35.91361319646985,20.64962397371156
6860.0,1000.0,0.579,7.75,2400.0,0.310913705583788,742.2306911325637,35.71045357605859,20.784689546205552
6870.0,4000.0,0.096,9.25,2720.0,0.31136693255985765,742.0511418862062,35.768465423735464,20.745959690901117
2373.0,916.0,0.607,10.0,1495.0,0.10755076142133074,838.6880618885933,11.879338686456204,70.6005682660427
12750.0,2685.0,0.202,11.0,823.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
14700.0,2190.0,0.231,8.0,942.0,0.6662436548224028,608.9003957823116,93.73123539933255,6.496237814301203
12750.0,2708.0,-0.023,6.07,3551.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
14710.0,3166.7,0.201,7.7,1093.0,0.6666968817984724,608.7220787606284,93.8296671468486,6.487522521080084
10000.0,341.0,0.718,10.0,1624.0,0.4532269760696618,688.423692322029,55.46308524399162,12.412286285437153
19610.0,1257.0,0.364,10.01,543.0,0.8887781000726067,502.05747149820195,161.7232462066966,3.104423657539796
5030.0,2007.7,0.41,8.11,2941.0,0.22797316896303987,776.7674361896547,25.512053557962684,30.44707610168897
6890.0,5221.5,-0.0986,7.95,8334.9,0.312273386511997,741.6922761882145,35.88457012021239,20.668835482870893
15690.0,5029.0,0.097,5.78,2721.0,0.7111131254532993,590.8425584907716,103.98166883966594,5.68217999464712
14710.0,4944.0,0.03,5.78,3395.0,0.6666968817984724,608.7220787606284,93.8296671468486,6.487522521080084
3040.0,2450.0,0.457,3.93,2492.0,0.13778100072517718,820.892597360422,15.201270459897534,54.00157832373409
9800.0,999.0,0.523,6.07,1438.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
13720.0,1016.0,0.448,8.05,302.0,0.621827411167576,626.066266128415,84.52122036626805,7.407208076449812
17650.0,2000.0,-0.051,7.96,2760.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
2962.0,1321.0,0.487,10.0,2491.0,0.13424583031183382,822.8640320067105,14.81000052216244,55.561377649874814
18000.0,2605.0,0.315,10.01,929.0,0.8158085569253912,543.5379160531284,133.30286754604703,4.077466044497304
12750.0,1601.0,0.286,8.0,900.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
11760.0,1823.0,0.291,7.83,1163.0,0.5329949238579222,659.1822548452111,68.24138482743484,9.659567380001386
13720.0,3353.0,-0.046,5.8100000000000005,4460.0,0.621827411167576,626.066266128415,84.52122036626805,7.407208076449812
14700.0,3945.0,0.048,8.0,2534.0,0.6662436548224028,608.9003957823116,93.73123539933255,6.496237814301203
7850.0,2209.0,0.242,6.07,2796.0,0.35578317621468447,724.7885535948081,41.59050611541581,17.426778880340677
16000.0,2205.0,0.233,10.0,870.0,0.7251631617114588,584.9877289150147,107.42469114931541,5.445561189483976
3217.0,282.0,0.865,13.100000000000001,995.0,0.14580311820161018,816.5091695556704,16.092213413336676,50.739394798168384
13720.0,641.0,0.542,10.0,230.0,0.621827411167576,626.066266128415,84.52122036626805,7.407208076449812
13720.0,375.0,0.456,10.0,1533.0,0.621827411167576,626.066266128415,84.52122036626805,7.407208076449812
7944.0,275.0,0.936,9.979999999999999,509.0,0.3600435097897393,723.1627316595508,42.16390787988856,17.151226440386154
3481.0,355.0,0.754,13.100000000000001,1453.0,0.15776831036984926,810.182340228638,17.429414212105304,46.48362419810642
14710.0,1010.0,0.42,10.75,404.0,0.6666968817984724,608.7220787606284,93.8296671468486,6.487522521080084
17700.0,3202.0,0.109,8.0,1816.0,0.8022117476433014,550.2885374620565,128.92206334959903,4.268381401636697
1010.0,2001.3,0.353,8.11,838.0,0.04577592458303584,886.6666237238146,5.194121575126838,170.7057894004267
9800.0,1601.0,0.204,8.0,2519.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
5001.0,2760.0,0.33,15.2,1520.0,0.22665881073243785,777.348880270373,25.35655721713028,30.65672021693918
2940.0,1601.0,0.546,8.0,2047.0,0.13324873096448056,823.4247180620403,14.699786870569966,56.01609909804856
17650.0,500.0,0.475,8.01,710.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
14710.0,2470.0,0.17,7.7,1128.0,0.6666968817984724,608.7220787606284,93.8296671468486,6.487522521080084
7039.0,7832.0,0.137,8.0,2554.0,0.3190264684554349,739.0282745504525,36.752977426908274,20.10798379587558
15690.0,1511.0,0.209,10.4,721.0,0.7111131254532993,590.8425584907716,103.98166883966594,5.68217999464712
13730.0,2000.0,0.1,7.96,1759.0,0.6222806381436456,625.8937996738728,84.61112878050665,7.397298779662078
300.0,300.0,0.5743,4.8,1205.0,0.013596809282089853,931.8182542476341,1.6508199667989627,564.4578288294421
15690.0,1500.0,0.387,8.200000000000001,353.0,0.7111131254532993,590.8425584907716,103.98166883966594,5.68217999464712
11760.0,1542.0,0.342,15.100000000000001,657.0,0.5329949238579222,659.1822548452111,68.24138482743484,9.659567380001386
9800.0,1594.0,0.344,6.07,1900.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
9810.0,500.0,0.624,7.75,1550.0,0.4446156635243382,691.5892934498335,54.16750050295774,12.767605797355744
3521.0,270.0,0.799,10.0,1523.0,0.1595812182741279,809.2439261979481,17.63293178975511,45.89389534576014
13720.0,1418.0,0.287,15.100000000000001,589.0,0.621827411167576,626.066266128415,84.52122036626805,7.407208076449812
9810.0,2002.0,0.341,7.99,1056.0,0.4446156635243382,691.5892934498335,54.16750050295774,12.767605797355744
13790.0,1301.8,-0.127,5.74,3501.6,0.6250000000000636,624.8579813954788,85.15223372759066,7.338127892151994
10000.0,2287.0,0.319,10.01,1049.0,0.4532269760696618,688.423692322029,55.46308524399162,12.412286285437153
17650.0,1504.0,-0.345,7.82,3580.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
17650.0,3352.0,0.222,8.030000000000001,1279.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
7850.0,1599.0,0.091,8.0,4225.0,0.35578317621468447,724.7885535948081,41.59050611541581,17.426778880340677
11760.0,3187.0,0.188,8.030000000000001,1221.0,0.5329949238579222,659.1822548452111,68.24138482743484,9.659567380001386
9800.0,3312.0,0.254,6.8,1663.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
14700.0,3185.0,0.338,8.0,604.0,0.6662436548224028,608.9003957823116,93.73123539933255,6.496237814301203
1451.0,471.0,0.715,10.0,1511.0,0.06576323422770793,868.4618107454335,7.352768026176863,118.11358765210467
9800.0,2014.0,0.354,8.030000000000001,639.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
15690.0,3488.0,0.246,10.0,1368.0,0.7111131254532993,590.8425584907716,103.98166883966594,5.68217999464712
18754.0,2018.4,0.369,13.4,895.4,0.8499818709210437,525.3709996314698,145.40295280498262,3.6132072251387357
2873.0,723.0,0.699,10.0,1490.0,0.13021211022481383,825.1452680891864,14.364520048073626,57.443288416715575
16000.0,707.0,0.542,10.0,381.0,0.7251631617114588,584.9877289150147,107.42469114931541,5.445561189483976
5880.0,1499.0,0.676,5.8500000000000005,1014.0,0.2664974619289611,760.2563964351368,30.15040560032466,25.215461659558912
9800.0,3335.0,0.165,5.78,1784.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
6935.0,2037.3,0.417,13.4,1194.9,0.31431290790431043,740.8859523369158,36.146201918385955,20.496923964784813
8000.0,1234.0,0.418,10.0,2115.0,0.3625815808557294,722.1962748575713,42.50681853817196,16.990127694666793
14710.0,1669.4,0.194,10.4,744.0,0.6666968817984724,608.7220787606284,93.8296671468486,6.487522521080084
3050.0,787.0,0.649,13.100000000000001,2010.0,0.13823422770124685,820.6416654450938,15.25149184172017,53.80730448940371
17700.0,2199.0,0.003,6.07,2067.0,0.8022117476433014,550.2885374620565,128.92206334959903,4.268381401636697
9810.0,2000.0,0.216,7.96,1680.0,0.4446156635243382,691.5892934498335,54.16750050295774,12.767605797355744
3020.0,1516.0,0.52,8.11,1507.0,0.13687454677303784,821.395685312383,15.100867898991249,54.393938865411364
12750.0,1601.0,0.059,8.0,2453.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
17650.0,2678.0,-0.098,8.07,2860.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
2992.0,2018.0,0.391,8.0,2408.0,0.1356055112400428,822.1027819392428,14.960393766879578,54.95194810709291
12750.0,5015.0,0.072,3.8400000000000003,2699.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
7000.0,4727.0,0.05,10.0,3309.0,0.3172588832487632,739.723964125216,36.52508882685207,20.25248912143356
6898.0,3814.4,0.216,12.6,2007.1,0.3126359680928527,741.5488163946424,35.931042291571885,20.63811036643885
14700.0,995.0,0.388,16.0,395.0,0.6662436548224028,608.9003957823116,93.73123539933255,6.496237814301203
17650.0,2748.0,-0.034,10.8,2232.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
9800.0,4023.0,0.099,6.07,2239.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
6860.0,3335.0,0.315,5.78,2109.0,0.310913705583788,742.2306911325637,35.71045357605859,20.784689546205552
11760.0,2773.0,0.056,8.05,2326.0,0.5329949238579222,659.1822548452111,68.24138482743484,9.659567380001386
17550.0,501.0,0.075,8.01,1370.0,0.7954133430022564,553.5776094412963,126.80991933294133,4.365412519409228
889.0,63.0,0.693,12.0,628.0,0.04029187817259293,892.4617858510555,4.599476801722879,194.03550106324175
2844.0,186.0,0.886,13.100000000000001,1003.0,0.1288977519942118,825.896203865485,14.219581098330774,58.08161282349142
1275.0,526.0,0.597,13.100000000000001,2099.0,0.05778643944888188,875.2771519040225,6.492101127798379,134.82186039219158
604.0,102.0,0.908,10.0,599.0,0.027374909354607572,908.3409423542907,3.1886914321234823,284.86323047865085
12750.0,1000.0,0.201,8.0,1643.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
17650.0,3811.0,0.062,7.9799999999999995,2488.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
19610.0,1024.0,0.469,10.01,252.0,0.8887781000726067,502.05747149820195,161.7232462066966,3.104423657539796
19610.0,498.0,0.328,10.8,393.0,0.8887781000726067,502.05747149820195,161.7232462066966,3.104423657539796
13790.0,2735.1,0.154,9.5,1091.63,0.6250000000000636,624.8579813954788,85.15223372759066,7.338127892151994
15690.0,706.0,0.415,10.01,586.0,0.7111131254532993,590.8425584907716,103.98166883966594,5.68217999464712
14000.0,330.0,0.815,10.0,169.0,0.6345177664975264,621.2182739433729,87.06886131799513,7.13479267489836
17650.0,2772.0,0.334,7.8,936.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
9800.0,3966.0,0.046,8.0,2926.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
12750.0,3207.0,0.309,8.0,548.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
17700.0,996.0,0.103,8.0,1166.0,0.8022117476433014,550.2885374620565,128.92206334959903,4.268381401636697
6990.0,4012.3,0.346,8.11,1169.0,0.3168056562726936,739.9025263891621,36.466723245013775,20.289800139647358
3011.0,476.0,0.787,10.0,2015.0,0.13646664249457516,821.6226114746875,15.055704156452013,54.57218094462802
6963.0,275.0,0.923,9.979999999999999,507.0,0.3155819434373055,740.3850157810876,36.30927309876569,20.39107237886997
12000.0,365.0,0.873,10.0,288.0,0.5438723712835941,655.1799465527706,70.1057039157811,9.345601141668114
2150.0,3272.2,-0.1558,10.0,8880.0,0.09744379985497728,845.2074524030671,10.779277314518382,78.4104005993681
843.0,704.0,0.613,9.93,1187.0,0.03820703408267249,894.7890137560108,4.372894620259178,204.62167316142126
14710.0,5030.0,-0.08,5.8100000000000005,6089.0,0.6666968817984724,608.7220787606284,93.8296671468486,6.487522521080084
2108.0,744.0,0.59,13.100000000000001,1490.0,0.0955402465554847,846.4750551818001,10.572572155717541,80.06330367998812
136.0,162.7,0.876,9.299999999999999,634.0,0.0061638868745474,952.1360194152018,0.7870547039812589,1209.7456690099064
307.0,101.0,0.818,8.0,236.0,0.013914068165338616,931.13615442468,1.6869225904410479,551.9732557385655
1736.0,808.0,0.719,3.94,1550.0,0.07868020304569329,858.3595727358262,8.747078156218981,98.13100528038055
7850.0,1998.0,0.44,8.0,1505.0,0.35578317621468447,724.7885535948081,41.59050611541581,17.426778880340677
500.0,3911.0,-0.045,8.0,7763.0,0.022661348803483087,915.2900274780151,2.6680480129857886,343.05605559688644
9800.0,3353.0,0.012,5.8100000000000005,4440.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
9800.0,3994.0,0.09,8.0,2188.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
1069.0,174.0,0.874,10.0,515.0,0.048449963741846847,883.9909332319181,5.483508783202828,161.20899376322205
15690.0,3318.0,0.313,5.8500000000000005,730.0,0.7111131254532993,590.8425584907716,103.98166883966594,5.68217999464712
10343.0,2684.9,0.146,6.22,3312.3,0.46877266134885115,682.7198725537742,57.8404031508629,11.803511652106957
6895.0,2739.1,0.004,12.8,3754.0,0.3125000000000318,741.6026080444277,35.91361319646985,20.64962397371156
19610.0,785.0,0.262,10.4,686.0,0.8887781000726067,502.05747149820195,161.7232462066966,3.104423657539796
6895.0,1358.7,0.485,11.299999999999999,1659.3,0.3125000000000318,741.6026080444277,35.91361319646985,20.64962397371156
5050.0,3120.0,0.265,15.100000000000001,2005.0,0.2288796229151792,776.3672156314872,25.61939380737653,30.303887026708246
1979.0,1009.0,0.656,8.0,772.0,0.08969361856418606,850.455899163278,9.938533775536762,85.57156602482306
12750.0,996.0,0.3,8.0,1341.0,0.5778643944888188,642.5979576297052,76.15045398615318,8.43853088185859
2462.0,355.0,0.92,7.760000000000001,738.0,0.11158448150835072,836.1767466844617,12.319692993371177,67.87318053577967
7840.0,3353.0,0.254,5.8100000000000005,2185.0,0.35532994923861483,724.9617817794069,41.52966689381496,17.456479572374704
9800.0,1001.0,0.489,8.0,1353.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
18098.8,2038.4,0.372,9.32,609.059,0.8202864394489594,541.2604248461897,134.79467219340543,4.01544375633468
11760.0,2285.0,0.142,7.7,1511.0,0.5329949238579222,659.1822548452111,68.24138482743484,9.659567380001386
4992.0,3040.0,0.671,15.2,206.0,0.22625090645397516,777.5296011447427,25.30833500783229,30.722273942719543
7840.0,3359.0,0.42,5.8500000000000005,638.0,0.35532994923861483,724.9617817794069,41.52966689381496,17.456479572374704
201.0,298.3,0.716,9.299999999999999,920.0,0.009109862219000201,942.8099243706475,1.134357672695353,831.1399015183915
16000.0,1998.5,0.302,8.11,698.0,0.7251631617114588,584.9877289150147,107.42469114931541,5.445561189483976
5100.0,4410.6,0.019,6.01,5243.0,0.2311457577955275,775.3693967302559,25.888108446602327,29.950793752643555
11760.0,2335.0,0.112,10.0,1966.0,0.5329949238579222,659.1822548452111,68.24138482743484,9.659567380001386
7061.0,424.0,0.806,9.979999999999999,1956.0,0.3200235678027882,738.6363236006046,36.881715139592636,20.02716849812866
6964.0,2047.6,0.22,12.62,2388.7,0.31562726613491243,740.3671360954952,36.31510102788222,20.387307625195692
3040.0,1349.6,-0.0645,10.0,7740.0,0.13778100072517718,820.892597360422,15.201270459897534,54.00157832373409
7840.0,2786.0,-0.287,7.92,7943.0,0.35532994923861483,724.9617817794069,41.52966689381496,17.456479572374704
5001.0,1150.0,0.514,15.2,1726.0,0.22665881073243785,777.348880270373,25.35655721713028,30.65672021693918
5880.0,962.0,0.32,11.05,3419.0,0.2664974619289611,760.2563964351368,30.15040560032466,25.215461659558912
6990.0,1001.8,0.755,8.11,819.0,0.3168056562726936,739.9025263891621,36.466723245013775,20.289800139647358
9810.0,1000.0,0.586,8.0,859.0,0.4446156635243382,691.5892934498335,54.16750050295774,12.767605797355744
19610.0,3335.0,0.226,5.78,1303.0,0.8887781000726067,502.05747149820195,161.7232462066966,3.104423657539796
7850.0,1000.0,0.38,8.0,2644.0,0.35578317621468447,724.7885535948081,41.59050611541581,17.426778880340677
17660.0,1916.7,0.045,7.9799999999999995,1791.0,0.8003988397390227,551.1709825376719,128.35394153160235,4.294149256039533
1373.0,592.0,0.737,7.760000000000001,975.0,0.06222806381436456,871.4199275901694,6.971374926172305,124.99972198004136
9800.0,1576.0,0.376,11.0,553.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
11790.0,1994.4,0.159,10.4,1420.0,0.5343546047861313,658.6824433602208,68.47266823036601,9.61964036722189
10000.0,530.0,0.651,10.0,1220.0,0.4532269760696618,688.423692322029,55.46308524399162,12.412286285437153
17650.0,1007.0,0.374,10.75,382.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
605.0,60.0,0.912,10.0,353.0,0.027420232052214537,908.2778949833937,3.1936781289492284,284.3986958955791
305.0,100.0,0.894,6.0,342.0,0.013823422770124685,931.3300136678636,1.676612271996236,555.4832379694966
19610.0,995.0,0.191,10.8,617.0,0.8887781000726067,502.05747149820195,161.7232462066966,3.104423657539796
17990.0,250.3,0.894,8.11,332.0,0.8153553299493215,543.7668724522794,133.15328273505398,4.083766177468242
13730.0,2000.0,0.066,8.01,1868.0,0.6222806381436456,625.8937996738728,84.61112878050665,7.397298779662078
17650.0,2783.0,0.287,10.75,765.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
13730.0,980.0,0.281,8.0,1430.0,0.6222806381436456,625.8937996738728,84.61112878050665,7.397298779662078
9800.0,1655.0,0.359,8.5,1523.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
11760.0,962.0,0.388,11.05,1320.0,0.5329949238579222,659.1822548452111,68.24138482743484,9.659567380001386
14000.0,1256.0,0.44,8.11,518.0,0.6345177664975264,621.2182739433729,87.06886131799513,7.13479267489836
100.0,203.9,0.93,4.8,631.0,0.004532269760696618,958.6315057778297,0.5903439801085902,1623.8524285476667
19610.0,372.0,-0.057,10.0,1251.0,0.8887781000726067,502.05747149820195,161.7232462066966,3.104423657539796
628.0,494.0,0.537,10.0,1528.0,0.028462654097174758,906.8452853684006,3.3082822539755115,274.1136383628267
206.0,50.0,0.844,12.3,501.6,0.009336475707035033,942.1794824624111,1.1607531651526148,811.6966731152821
7850.0,1590.0,0.462,8.0,1299.0,0.35578317621468447,724.7885535948081,41.59050611541581,17.426778880340677
9800.0,1599.0,0.084,8.0,3851.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
5880.0,1520.0,0.495,10.8,1552.0,0.2664974619289611,760.2563964351368,30.15040560032466,25.215461659558912
9800.0,1047.0,0.533,10.0,651.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
7850.0,2209.0,0.29,6.07,2484.0,0.35578317621468447,724.7885535948081,41.59050611541581,17.426778880340677
1353.0,570.0,0.58,13.100000000000001,1487.0,0.061321609862225235,872.1938766115869,6.873576548913759,126.8908362924133
2940.0,1617.0,0.425,8.0,4251.0,0.13324873096448056,823.4247180620403,14.699786870569966,56.01609909804856
1451.0,385.0,0.883,7.760000000000001,727.0,0.06576323422770793,868.4618107454335,7.352768026176863,118.11358765210467
7100.0,883.5,0.722,6.01,2642.0,0.3217911530094599,737.9423576666537,37.110261741348694,19.88512942349931
17700.0,1005.0,0.245,16.0,425.0,0.8022117476433014,550.2885374620565,128.92206334959903,4.268381401636697
6895.0,2766.0,0.067,12.8,2852.0,0.3125000000000318,741.6026080444277,35.91361319646985,20.64962397371156
5000.0,2796.0,0.235,10.0,3214.0,0.2266134880348309,777.3689539624161,25.351198370023667,30.663992392628277
17650.0,4000.0,0.361,8.01,1118.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
5021.0,3010.0,0.553,15.2,439.0,0.22756526468457716,776.947741382049,25.463777478109275,30.51188073136345
6860.0,4997.0,0.067,5.78,3069.0,0.310913705583788,742.2306911325637,35.71045357605859,20.784689546205552
13730.0,1000.0,0.443,8.01,544.0,0.6222806381436456,625.8937996738728,84.61112878050665,7.397298779662078
9800.0,4997.0,0.321,5.78,1423.0,0.44416243654826854,691.7560518697336,54.09972130963916,12.786684203241556
17650.0,1495.0,0.049,7.95,1581.0,0.7999456127629531,551.3909763248495,128.21247290089943,4.300603239678886
19610.0,3335.0,-0.008,5.78,2061.0,0.8887781000726067,502.05747149820195,161.7232462066966,3.104423657539796
