name,N_points,D_mm_min,D_mm_max,L_m_min,L_m_max,P_kPa_min,P_kPa_max,G_kg_m2s_min,G_kg_m2s_max,Xchf_min,Xchf_max,DHin_kJkg_min,DHin_kJkg_max,q_kWm2_min,q_kWm2_max,Tin_C_min,Tin_C_max,_source_pdf_page
Mudawar and Bowers (1999),174,0.40,2.50,0.004,0.031,250,"17,240","5,000","134,000",-1.778,-0.062,254,"1,579","9,400","276,000",18,70,29
Nariai et al. (1987),93,1.00,3.00,0.009,0.101,100,100,"6,710","20,910",-0.134,0.007,149.5,353,4647,"69,990",15.4,64,29
Nariai et al. (1991),7,6.00,6.00,0.10,0.10,196,"1,470","7,700","9,952",-0.24,-0.096,306,618,"12,110","17,230",33,53,29
Nariai CHF data set from Celata (2001),14,6.0,6.0,0.100,0.100,100,"1,500","4,590","8,690",-0.2595,0.0577,31,281,"8,500","22,100",38.3,44.7,29
Nguyen and Yin (1975),56,12.60,12.60,2.438,4.877,"6,645","8,401",929.6,"3,838.4",0.216,0.738,52,413,677,"2,023.7",225.06,276.81,29
Olekhnovitch (1997),479,8.00,8.00,0.75,3.50,507,"4,036",977,"6,122",0.046,0.761,4,498,523,"5,550",47,244,29
Ornatskii (1963),69,2.00,2.00,0.04,0.04,"20,265","20,265","30,000","30,000",-0.054,-0.054,"1,811","1,811","70,314","70,314",335,335,30
Ornatskii and Kichigin (1961),222,2.00,2.00,0.04,0.04,"1,013","7,599","5,000","30,000",-0.654,-0.002,72,"1,176","6,392","70,895",2.25,263.8,30
Ornatskii and Kichigin (1962),169,2.00,2.00,0.04,0.04,"7,599","15,199",5000,30000,-1.23,-0.026,79,"1,566","8,136","72,058",0.88,331,30
Ornatskii and Viniarskii (1965),109,0.50,0.50,0.014,0.014,"1,013","7,194","20,000","90,000",-0.572,-0.107,321,"1,942","39,542","224,459",-20,195,30
Pabisz and Bergles (1996),10,4.40,6.20,0.11,0.154,627,"1,284","2,417","4,994",-0.196,-0.133,567,698,"7,370","13,880",15.3,46,30
Peterlongo et al. (1964),349,15.1,15.2,1.62,4.02,4933,"6,551","1,010","4,020",-0.02,0.608,-90,"1,038",895,"4,115",27,281,30
Ruan (1994) Rudzinski (1999) MR1-A Data,41,9.00,9.00,0.40,0.40,106,707,12,207,0.469,0.966,15,279,139.4,"1,955",40,153,30
(Private Communication) Shan (2005),24,distribution,8.00,1.00,1.00,"13,337","14,808",572,"4,137",-0.022,0.422,97,692,819.5,"4,511",198,328,30
Shlykov et al. (1970),60,3.60,3.60,0.10,0.10,76.5,386,"12,865","25,494",-0.167,-0.022,149,508,"12,800","30,300",3,98,30
Smolin et al. (1962),369,3.84,10.80,0.776,4.000,"7,840","19,610",498,"7,556",-0.132,0.795,5,"1,329",230,"5,652",140.35,350.39,30
Stein (2004),383,8.10,9.00,6.00,0.45,"20,120","7,140","6,086",304.5,1.336,1,693,"1,245","3,879","4,700.5",355,272,31
Swenson et al. (1962),25,10.4,10.5,1.75,1.80,"13,790","13,790",679,"1,765",0.178,0.502,44,564,587,"1,063",231,329,31
Tain (1994),55,8.00,8.00,1.75,1.75,"6,849","10,127","2,401","7,832",0.028,0.378,27,455,"1,341","4,358",191,299,31
Tong (1964),266,6.22,12.90,0.380,3.660,"5,171","13,790",678,"14,002",0.002,0.502,5,"1,060",587,"6,139",263.94,330.85,31
Vandervort (1992),210,0.30,2.70,0.002,0.066,131,"2,277","8,438","41,810",-0.276,-0.018,169,759,"18,700","123,800",6.4,85,31
Waters et al. (1965),37,11.2,11.2,0.61,3.65,"6,895","10,342","6,578","9,548",-0.033,0.322,-322,"1,050","2,017","5,389",87,313,31
Weber and Johannsen (1990),55,9.70,9.70,0.043,0.043,110,"1,200",10.8,301,0.072,1.53,4.2,577,"1,495","7,572",65,175,31
Whittle and Forgan (1967),59,6.45,6.45,0.4064,0.6096,117.2,172.4,"1,643.5","9,137",-0.0311,-0.0088,290,171,660,"3,480",35,75,31
Williams and Baus (1980),129,9.50,9.50,1.84,1.84,"15,169","15,169","4,663","4,663",0.929,0.929,"1,223","1,223","4,073","4,073",315,315,32
Yildiz (1997),385,6.00,8.00,0.17,0.31,90,721,48.5,411,0.001,0.914,-4.26,"1,057",533,"4,381",31,158,32
Yin et al. (1988) Zenkevich (1969),287,13.40,3.99,3.658,0.250,"1,028","5,880","1,938.9",498,0.075,-1.652,0,2,583.3,136,128.42,76.01,32
data from Kirillov (1992) Zenkevich (1971) data from Kirillov (1992),392,15.10,8.05,6.000,20.000,"19,610","17,650","9,876","2,783",0.964,0.876,"1,644","1,549","14,760","1,283",361.79,352.22,32
Zenkevich et al. (1974) data different from the others,823,4.80,12.60,1.000,6.000,"5,890","19,620",497.2,"6,694.4",-0.221,0.969,5,"1,381",230,"4,740",96.70,358.24,32
Zenkevich et al. (1964),63,6.8,10.0,0.10,0.39,"3,924","9,810",550,"6,444",-0.02,0.693,131,279,"4,910","9,710",211,286,32
