name,N_points,D_mm_min,D_mm_max,L_m_min,L_m_max,P_kPa_min,P_kPa_max,G_kg_m2s_min,G_kg_m2s_max,Xchf_min,Xchf_max,DHin_kJkg_min,DHin_kJkg_max,q_kWm2_min,q_kWm2_max,Tin_C_min,Tin_C_max,_source_pdf_page
Celata et al. (1993),78,2.5,2.5,0.1,0.1,2714.0,2714.0,40000.0,40000.0,-0.104,-0.104,844.0,844,60579.0,60579.0,70.5,70.5,27
Cheng et al. (1983a),150,12.6,12.6,0.37,0.74,101.0,687.0,50.0,400.0,0.187,1.227,42.0,210,331.2,2115.0,70.0,154.61,27
Cheng et al. (1983b),132,4.8,4.8,0.19,0.38,100.0,700.0,300.0,750.0,0.082,0.765,42.0,214,889.0,2131.0,49.6,145.0,27
Dell et al. (1969) AERE-M 2216 Doerffer (1999),82,6.17,,0.914,5.512,6895.0,6895.0,14328.9,4135.8,0.144,0.779,79.0,365,492.7,3340.4,217.13,270.09,27
Doerffer et al. (1997) Era et al. (1966),163,,5.98,1.602,4.8,6777.0,7049.0,1105.0,3014.9,0.374,0.952,-1211.0,565,109.2,1960.9,181.13,509.3,27
Griffel (1965) NYO-187-7 Groeneveld,397,6.22,,0.61,1.972,3448.0,10343.0,637.3,18577.2,-0.209,0.592,45.0,1209,1400.6,8107.3,87.68,287.07,27
(1985) Hassid et al. (1967) CISE-R-236,191,24.9,25.1,1.59,2.391,2942.0,6090.0,369.3,3857.5,-0.035,0.838,1427.0,3433,1430.9,3444.1,153.89,267.66,27
Hewitt et al. (1965) AERE-R 4864.,442,9.3,9.3,0.229,3.048,101.0,208.0,90.9,301.0,0.16,1.083,-41.0,383,144.0,4013.0,13.71,119.39,27
Hood (1962),61,6.3,25.4,0.61,0.61,414.0,8412.0,2156.0,11390.0,-0.25,-0.05,204.0,1113,5741.0,11830.0,-20.0,243.0,27
Hood and Isakoff (1962),24,22.2,22.2,1.1,1.1,,,2726.0,2726.0,0.484,0.484,1224.0,1224,4637.0,4637.0,272.0,272.0,28
Inasaka et al. (1991),8,6.0,6.0,0.1,0.1,104.0,114.0,6520.0,11364.0,-0.09,-0.07,250.0,266,7280.0,11200.0,39.0,41.0,28
Inasaka and Nariai (1989),29,3.0,3.0,0.1,0.1,290.0,1050.0,4300.0,29900.0,-0.188,-0.051,266.0,626,7300.0,44500.0,25.0,78.0,28
Jafri (1993),49,15.8,15.8,2.44,2.44,317.0,1060.0,1439.0,8102.0,-0.021,0.28,223.0,667,1795.0,5691.0,19.0,129.0,28
Jens and Lottes (1951) Subcooling CHF data,48,5.74,5.74,0.625,0.625,3448.0,13790.0,1301.8,10603.9,-0.464,-0.015,279.0,1310,2965.3,11924.4,70.52,285.05,28
Judd and Wilson (1966) BAW-3238-9,49,11.3,11.3,1.829,1.829,6861.0,13859.0,673.9,3428.0,0.016,0.776,33.0,730,593.1,2668.8,207.11,323.84,28
Kim et al. (2000) Kirillov et al.,502,6.0,7.71,0.3,0.99,104.0,6370.0,21.0,494.0,0.397,-0.494,0.8,7,130.0,110.0,20.0,79.41,28
(1984) Kureta (1997),913,8.09,6.0,6.0,0.68,18040.0,101.3,4154.0,19130.0,0.981,1.664,1537.0,391,7700.0,158100.0,350.9,100.0,28
Ladislau (1978) (see Kirillov database (1992)),136,4.0,4.0,0.2,0.2,420.0,1000.0,884.0,5504.0,-0.051,-0.009,104.0,638,1860.0,4631.0,28.04,149.56,28
Lee (1965),38,9.5,9.5,1.73,3.05,6828.0,7024.0,2020.0,5720.0,0.002,0.433,75.5,577,1307.0,3873.0,161.0,271.0,28
AEEW-R479,435,44.7,44.7,1.524,1.524,12579.0,12579.0,3410.3,3410.3,0.78,0.78,451.0,451,3738.2,3738.2,318.09,318.09,29
Leung et al. (1989) Leung et al.,66,5.45,5.45,2.511,2.511,5030.0,9710.0,1167.6,9938.3,0.21,0.578,6.0,316,656.2,3058.3,227.85,305.33,29
(1990) Lowdermilk et al. (1958),470,,4.8,0.119,0.991,100.0,100.0,27.2,4865.5,0.03,1.236,317.0,331,167.0,9525.0,20.91,24.24,29
Matzner et al. (1965),99,10.2,10.2,2.438,4.877,6893.0,6893.0,1193.3,9559.8,0.008,0.693,48.0,1183,643.5,4041.0,65.61,275.82,29
Mayinger et al. (1966),128,7.0,7.0,0.56,0.98,1925.0,10244.0,2233.0,3734.0,0.098,0.405,-239.0,314,924.0,5618.0,233.28,310.09,29
Mudawar and Bowers (1999),174,0.4,2.5,0.004,0.031,250.0,17240.0,5000.0,134000.0,-1.778,-0.062,254.0,1579,9400.0,276000.0,18.0,70.0,29
Nariai et al. (1987),93,1.0,3.0,0.009,0.101,100.0,100.0,6710.0,20910.0,-0.134,0.007,149.5,353,4647.0,69990.0,15.4,64.0,29
Nariai et al. (1991),7,6.0,6.0,0.1,0.1,196.0,1470.0,7700.0,9952.0,-0.24,-0.096,306.0,618,12110.0,17230.0,33.0,53.0,29
Nariai CHF data set from Celata (2001),14,6.0,6.0,0.1,0.1,100.0,1500.0,4590.0,8690.0,-0.2595,0.0577,31.0,281,8500.0,22100.0,38.3,44.7,29
Nguyen and Yin (1975),56,12.6,12.6,2.438,4.877,6645.0,8401.0,929.6,3838.4,0.216,0.738,52.0,413,677.0,2023.7,225.06,276.81,29
Olekhnovitch (1997),479,8.0,8.0,0.75,3.5,507.0,4036.0,977.0,6122.0,0.046,0.761,4.0,498,523.0,5550.0,47.0,244.0,29
Ornatskii (1963),69,2.0,2.0,0.04,0.04,20265.0,20265.0,30000.0,30000.0,-0.054,-0.054,1811.0,1811,70314.0,70314.0,335.0,335.0,30
Ornatskii and Kichigin (1961),222,2.0,2.0,0.04,0.04,1013.0,7599.0,5000.0,30000.0,-0.654,-0.002,72.0,1176,6392.0,70895.0,2.25,263.8,30
Ornatskii and Kichigin (1962),169,2.0,2.0,0.04,0.04,7599.0,15199.0,5000.0,30000.0,-1.23,-0.026,79.0,1566,8136.0,72058.0,0.88,331.0,30
Ornatskii and Viniarskii (1965),109,0.5,0.5,0.014,0.014,1013.0,7194.0,20000.0,90000.0,-0.572,-0.107,321.0,1942,39542.0,224459.0,-20.0,195.0,30
Pabisz and Bergles (1996),10,4.4,6.2,0.11,0.154,627.0,1284.0,2417.0,4994.0,-0.196,-0.133,567.0,698,7370.0,13880.0,15.3,46.0,30
Peterlongo et al. (1964),349,15.1,15.2,1.62,4.02,4933.0,6551.0,1010.0,4020.0,-0.02,0.608,-90.0,1038,895.0,4115.0,27.0,281.0,30
Ruan (1994) Rudzinski (1999) MR1-A Data,41,9.0,9.0,0.4,0.4,106.0,707.0,12.0,207.0,0.469,0.966,15.0,279,139.4,1955.0,40.0,153.0,30
(Private Communication) Shan (2005),24,,8.0,1.0,1.0,13337.0,14808.0,572.0,4137.0,-0.022,0.422,97.0,692,819.5,4511.0,198.0,328.0,30
Shlykov et al. (1970),60,3.6,3.6,0.1,0.1,76.5,386.0,12865.0,25494.0,-0.167,-0.022,149.0,508,12800.0,30300.0,3.0,98.0,30
Smolin et al. (1962),369,3.84,10.8,0.776,4.0,7840.0,19610.0,498.0,7556.0,-0.132,0.795,5.0,1329,230.0,5652.0,140.35,350.39,30
Stein (2004),383,8.1,9.0,6.0,0.45,20120.0,7140.0,6086.0,304.5,1.336,1.0,693.0,1245,3879.0,4700.5,355.0,272.0,31
Swenson et al. (1962),25,10.4,10.5,1.75,1.8,13790.0,13790.0,679.0,1765.0,0.178,0.502,44.0,564,587.0,1063.0,231.0,329.0,31
Tain (1994),55,8.0,8.0,1.75,1.75,6849.0,10127.0,2401.0,7832.0,0.028,0.378,27.0,455,1341.0,4358.0,191.0,299.0,31
Tong (1964),266,6.22,12.9,0.38,3.66,5171.0,13790.0,678.0,14002.0,0.002,0.502,5.0,1060,587.0,6139.0,263.94,330.85,31
Vandervort (1992),210,0.3,2.7,0.002,0.066,131.0,2277.0,8438.0,41810.0,-0.276,-0.018,169.0,759,18700.0,123800.0,6.4,85.0,31
Waters et al. (1965),37,11.2,11.2,0.61,3.65,6895.0,10342.0,6578.0,9548.0,-0.033,0.322,-322.0,1050,2017.0,5389.0,87.0,313.0,31
Weber and Johannsen (1990),55,9.7,9.7,0.043,0.043,110.0,1200.0,10.8,301.0,0.072,1.53,4.2,577,1495.0,7572.0,65.0,175.0,31
Whittle and Forgan (1967),59,6.45,6.45,0.4064,0.6096,117.2,172.4,1643.5,9137.0,-0.0311,-0.0088,290.0,171,660.0,3480.0,35.0,75.0,31
Williams and Baus (1980),129,9.5,9.5,1.84,1.84,15169.0,15169.0,4663.0,4663.0,0.929,0.929,1223.0,1223,4073.0,4073.0,315.0,315.0,32
Yildiz (1997),385,6.0,8.0,0.17,0.31,90.0,721.0,48.5,411.0,0.001,0.914,-4.26,1057,533.0,4381.0,31.0,158.0,32
Yin et al. (1988) Zenkevich (1969),287,13.4,3.99,3.658,0.25,1028.0,5880.0,1938.9,498.0,0.075,-1.652,0.0,2,583.3,136.0,128.42,76.01,32
data from Kirillov (1992) Zenkevich (1971) data from Kirillov (1992),392,15.1,8.05,6.0,20.0,19610.0,17650.0,9876.0,2783.0,0.964,0.876,1644.0,1549,14760.0,1283.0,361.79,352.22,32
Zenkevich et al. (1974) data different from the others,823,4.8,12.6,1.0,6.0,5890.0,19620.0,497.2,6694.4,-0.221,0.969,5.0,1381,230.0,4740.0,96.7,358.24,32
Zenkevich et al. (1964),63,6.8,10.0,0.1,0.39,3924.0,9810.0,550.0,6444.0,-0.02,0.693,131.0,279,4910.0,9710.0,211.0,286.0,32
