row_id,source_dataset,source_row_id,geometry_family,data_type,fluid,pressure_kPa,mass_flux_kg_m2s,quality,subcooling_K,subcooling_kJkg,diameter_mm,heated_length_mm,CHF_kW_m2,reference_id,author,source_citation,inlet_temperature_C,assumptions,D_e_mm,wallpower,wallmesh,chf_location,shape,continuous,coil_no,appendix,rho_l_over_rho_g,fin_shape,fin_array,fin_width_um,fin_height_um,fin_spacing_um,coverage,porosity,mbl_lateral_um,mbl_total_um,roughness_factor,surface_material,heater_width_mm,orientation,angle_deg,tsat_minus_tpool_K,surface_tension_N_m,rho_l_kg_m3,cp_l_J_kgK,kl_W_mK,mu_l_Pa_s,alpha_m2_s,ja,r_bubble_m
nrc_groeneveld_24579pt__32,nrc_groeneveld_24579pt,33,tube,raw_experimental,water,100.0,421.3,0.74,,329.0,4.0,991.0,820.0,1,,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__33,nrc_groeneveld_24579pt,34,tube,raw_experimental,water,100.0,421.3,0.7,,329.0,4.0,991.0,789.0,1,,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__34,nrc_groeneveld_24579pt,35,tube,raw_experimental,water,100.0,421.3,0.79,,329.0,4.0,991.0,883.0,1,,,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__35,nrc_groeneveld_24579pt,36,tube,raw_experimental,water,100.0,69.3,0.99,,319.0,4.8,478.0,442.0,1,,,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__36,nrc_groeneveld_24579pt,37,tube,raw_experimental,water,100.0,135.9,0.83,,319.0,4.8,478.0,757.0,1,,,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__37,nrc_groeneveld_24579pt,38,tube,raw_experimental,water,100.0,203.9,0.74,,319.0,4.8,478.0,1041.0,1,,,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__38,nrc_groeneveld_24579pt,39,tube,raw_experimental,water,100.0,285.4,0.69,,319.0,4.8,478.0,1325.0,1,,,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__39,nrc_groeneveld_24579pt,40,tube,raw_experimental,water,100.0,407.7,0.58,,319.0,4.8,478.0,1672.0,1,,,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__40,nrc_groeneveld_24579pt,41,tube,raw_experimental,water,100.0,543.6,0.55,,319.0,4.8,478.0,2145.0,1,,,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__41,nrc_groeneveld_24579pt,42,tube,raw_experimental,water,100.0,665.9,0.54,,319.0,4.8,478.0,2586.0,1,,,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__42,nrc_groeneveld_24579pt,43,tube,raw_experimental,water,100.0,706.7,0.53,,319.0,4.8,478.0,2649.0,1,,,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__43,nrc_groeneveld_24579pt,44,tube,raw_experimental,water,100.0,937.8,0.48,,319.0,4.8,478.0,3280.0,1,,,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__44,nrc_groeneveld_24579pt,45,tube,raw_experimental,water,100.0,1386.3,0.43,,319.0,4.8,478.0,4510.0,1,,,23.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__45,nrc_groeneveld_24579pt,46,tube,raw_experimental,water,100.0,135.9,0.89,,326.0,4.8,716.0,536.0,1,,,21.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__46,nrc_groeneveld_24579pt,47,tube,raw_experimental,water,100.0,203.9,0.77,,317.0,4.8,716.0,694.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__47,nrc_groeneveld_24579pt,48,tube,raw_experimental,water,100.0,271.8,0.71,,317.0,4.8,716.0,883.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__48,nrc_groeneveld_24579pt,49,tube,raw_experimental,water,100.0,407.7,0.63,,317.0,4.8,716.0,1167.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__49,nrc_groeneveld_24579pt,50,tube,raw_experimental,water,100.0,557.2,0.6,,317.0,4.8,716.0,1545.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__50,nrc_groeneveld_24579pt,51,tube,raw_experimental,water,100.0,665.9,0.59,,317.0,4.8,716.0,1829.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__51,nrc_groeneveld_24579pt,52,tube,raw_experimental,water,100.0,951.4,0.55,,317.0,4.8,716.0,2492.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__52,nrc_groeneveld_24579pt,53,tube,raw_experimental,water,100.0,937.8,0.55,,317.0,4.8,716.0,2429.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__53,nrc_groeneveld_24579pt,54,tube,raw_experimental,water,100.0,1413.4,0.53,,317.0,4.8,716.0,3532.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__54,nrc_groeneveld_24579pt,55,tube,raw_experimental,water,100.0,203.9,0.93,,317.0,4.8,955.0,631.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__55,nrc_groeneveld_24579pt,56,tube,raw_experimental,water,100.0,271.8,0.75,,317.0,4.8,955.0,694.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__56,nrc_groeneveld_24579pt,57,tube,raw_experimental,water,100.0,407.7,0.68,,317.0,4.8,955.0,946.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__57,nrc_groeneveld_24579pt,58,tube,raw_experimental,water,100.0,543.6,0.63,,317.0,4.8,955.0,1199.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__58,nrc_groeneveld_24579pt,59,tube,raw_experimental,water,100.0,679.5,0.64,,317.0,4.8,955.0,1482.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__59,nrc_groeneveld_24579pt,60,tube,raw_experimental,water,100.0,951.4,0.55,,317.0,4.8,955.0,1861.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__60,nrc_groeneveld_24579pt,61,tube,raw_experimental,water,100.0,1100.9,0.49,,317.0,4.8,955.0,1987.0,1,,,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__61,nrc_groeneveld_24579pt,62,tube,raw_experimental,water,7840.0,3862.0,0.268,,174.0,3.8400000000000003,799.0,2620.0,2,,,260.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__62,nrc_groeneveld_24579pt,63,tube,raw_experimental,water,7840.0,3934.0,0.165,,402.0,3.8400000000000003,799.0,3061.0,2,,,211.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__63,nrc_groeneveld_24579pt,64,tube,raw_experimental,water,7840.0,3934.0,0.214,,271.0,3.8400000000000003,799.0,2791.0,2,,,240.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__64,nrc_groeneveld_24579pt,65,tube,raw_experimental,water,7840.0,3982.0,0.288,,68.0,3.8400000000000003,799.0,2339.0,2,,,281.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__65,nrc_groeneveld_24579pt,66,tube,raw_experimental,water,7840.0,4054.0,0.172,,319.0,3.8400000000000003,799.0,2840.0,2,,,229.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__66,nrc_groeneveld_24579pt,67,tube,raw_experimental,water,7840.0,4990.0,0.156,,290.0,3.8400000000000003,799.0,3130.0,2,,,236.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__67,nrc_groeneveld_24579pt,68,tube,raw_experimental,water,7840.0,4990.0,0.181,,243.0,3.8400000000000003,799.0,3061.0,2,,,246.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__68,nrc_groeneveld_24579pt,69,tube,raw_experimental,water,7840.0,4990.0,0.227,,155.0,3.8400000000000003,799.0,2930.0,2,,,264.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__69,nrc_groeneveld_24579pt,70,tube,raw_experimental,water,7840.0,5013.0,0.085,,564.0,3.8400000000000003,799.0,4140.0,2,,,175.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__70,nrc_groeneveld_24579pt,71,tube,raw_experimental,water,7840.0,5013.0,0.089,,533.0,3.8400000000000003,799.0,4000.0,2,,,182.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__71,nrc_groeneveld_24579pt,72,tube,raw_experimental,water,7840.0,5013.0,0.105,,479.0,3.8400000000000003,799.0,3830.0,2,,,194.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__72,nrc_groeneveld_24579pt,73,tube,raw_experimental,water,7840.0,5013.0,0.128,,388.0,3.8400000000000003,799.0,3461.0,2,,,214.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__73,nrc_groeneveld_24579pt,74,tube,raw_experimental,water,7840.0,5013.0,0.129,,347.0,3.8400000000000003,799.0,3261.0,2,,,223.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__74,nrc_groeneveld_24579pt,75,tube,raw_experimental,water,7840.0,5013.0,0.198,,199.0,3.8400000000000003,799.0,2970.0,2,,,255.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__75,nrc_groeneveld_24579pt,76,tube,raw_experimental,water,7840.0,5013.0,0.241,,104.0,3.8400000000000003,799.0,2740.0,2,,,274.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__76,nrc_groeneveld_24579pt,77,tube,raw_experimental,water,7840.0,5013.0,0.265,,41.0,3.8400000000000003,799.0,2610.0,2,,,286.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__77,nrc_groeneveld_24579pt,78,tube,raw_experimental,water,7840.0,7460.0,-0.006,,634.0,3.8400000000000003,799.0,5652.0,2,,,159.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__78,nrc_groeneveld_24579pt,79,tube,raw_experimental,water,7840.0,7460.0,0.028,,586.0,3.8400000000000003,799.0,5620.0,2,,,170.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__79,nrc_groeneveld_24579pt,80,tube,raw_experimental,water,7840.0,7460.0,0.034,,542.0,3.8400000000000003,799.0,5320.0,2,,,180.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__80,nrc_groeneveld_24579pt,81,tube,raw_experimental,water,7840.0,7460.0,0.041,,497.0,3.8400000000000003,799.0,5011.0,2,,,190.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__81,nrc_groeneveld_24579pt,82,tube,raw_experimental,water,7840.0,7460.0,0.043,,457.0,3.8400000000000003,799.0,4711.0,2,,,199.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__82,nrc_groeneveld_24579pt,83,tube,raw_experimental,water,7840.0,7460.0,0.05,,416.0,3.8400000000000003,799.0,4420.0,2,,,208.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__83,nrc_groeneveld_24579pt,84,tube,raw_experimental,water,7840.0,7460.0,0.055,,384.0,3.8400000000000003,799.0,4200.0,2,,,215.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__84,nrc_groeneveld_24579pt,85,tube,raw_experimental,water,7840.0,7460.0,0.067,,328.0,3.8400000000000003,799.0,3850.0,2,,,227.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__85,nrc_groeneveld_24579pt,86,tube,raw_experimental,water,7840.0,7460.0,0.077,,286.0,3.8400000000000003,799.0,3620.0,2,,,236.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__86,nrc_groeneveld_24579pt,87,tube,raw_experimental,water,7840.0,7460.0,0.099,,243.0,3.8400000000000003,799.0,3520.0,2,,,246.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__87,nrc_groeneveld_24579pt,88,tube,raw_experimental,water,7840.0,7460.0,0.13,,194.0,3.8400000000000003,799.0,3480.0,2,,,256.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__88,nrc_groeneveld_24579pt,89,tube,raw_experimental,water,7840.0,7460.0,0.168,,150.0,3.8400000000000003,799.0,3580.0,2,,,265.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__89,nrc_groeneveld_24579pt,90,tube,raw_experimental,water,7840.0,7460.0,0.194,,99.0,3.8400000000000003,799.0,3450.0,2,,,275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__90,nrc_groeneveld_24579pt,91,tube,raw_experimental,water,7840.0,7460.0,0.217,,41.0,3.8400000000000003,799.0,3270.0,2,,,286.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__91,nrc_groeneveld_24579pt,92,tube,raw_experimental,water,7840.0,7460.0,0.129,,194.0,3.8400000000000003,799.0,3500.0,2,,,256.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__92,nrc_groeneveld_24579pt,93,tube,raw_experimental,water,7840.0,7460.0,0.167,,145.0,3.8400000000000003,799.0,3520.0,2,,,266.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__93,nrc_groeneveld_24579pt,94,tube,raw_experimental,water,7840.0,7460.0,0.189,,99.0,3.8400000000000003,799.0,3390.0,2,,,275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__94,nrc_groeneveld_24579pt,95,tube,raw_experimental,water,7840.0,7460.0,0.21,,47.0,3.8400000000000003,799.0,3220.0,2,,,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__95,nrc_groeneveld_24579pt,96,tube,raw_experimental,water,7840.0,3958.0,0.317,,233.0,3.8400000000000003,1549.0,1700.0,2,,,248.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__96,nrc_groeneveld_24579pt,97,tube,raw_experimental,water,7840.0,3958.0,0.32,,174.0,3.8400000000000003,1549.0,1580.0,2,,,260.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__97,nrc_groeneveld_24579pt,98,tube,raw_experimental,water,7840.0,3958.0,0.336,,99.0,3.8400000000000003,1549.0,1439.0,2,,,275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__98,nrc_groeneveld_24579pt,99,tube,raw_experimental,water,7840.0,3982.0,0.339,,31.0,3.8400000000000003,1549.0,1339.0,2,,,287.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__99,nrc_groeneveld_24579pt,100,tube,raw_experimental,water,7840.0,1604.0,0.312,,384.0,6.07,792.0,2620.0,2,,,215.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__100,nrc_groeneveld_24579pt,101,tube,raw_experimental,water,7840.0,1604.0,0.357,,300.0,6.07,792.0,2520.0,2,,,233.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__101,nrc_groeneveld_24579pt,102,tube,raw_experimental,water,7840.0,1604.0,0.385,,199.0,6.07,792.0,2330.0,2,,,255.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__102,nrc_groeneveld_24579pt,103,tube,raw_experimental,water,7840.0,2199.0,0.181,,488.0,6.07,792.0,3161.0,2,,,192.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__103,nrc_groeneveld_24579pt,104,tube,raw_experimental,water,7840.0,2199.0,0.21,,393.0,6.07,792.0,2940.0,2,,,213.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__104,nrc_groeneveld_24579pt,105,tube,raw_experimental,water,7840.0,2199.0,0.318,,47.0,6.07,792.0,2210.0,2,,,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__105,nrc_groeneveld_24579pt,106,tube,raw_experimental,water,7840.0,2208.0,0.154,,568.0,6.07,792.0,3330.0,2,,,174.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__106,nrc_groeneveld_24579pt,107,tube,raw_experimental,water,7840.0,2208.0,0.255,,262.0,6.07,792.0,2680.0,2,,,242.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__107,nrc_groeneveld_24579pt,108,tube,raw_experimental,water,7840.0,2208.0,0.291,,165.0,6.07,792.0,2480.0,2,,,262.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__108,nrc_groeneveld_24579pt,109,tube,raw_experimental,water,7840.0,2698.0,0.079,,630.0,6.07,792.0,3830.0,2,,,159.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__109,nrc_groeneveld_24579pt,110,tube,raw_experimental,water,7840.0,2698.0,0.125,,479.0,6.07,792.0,3420.0,2,,,194.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrc_groeneveld_24579pt__110,nrc_groeneveld_24579pt,111,tube,raw_experimental,water,7840.0,2688.0,0.159,,351.0,6.07,792.0,3000.0,2,,,222.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
